# Z	N	A	e	B/A_MeV	name
66	66	132	66	7.7731	Hexhex-ium-132
57	57	114	58	8.0141	Pentsept-ium-114
2	2	4	2	7.2603	He-4
73	73	146	72	7.5523	Septtri-ium-146
80	81	161	80	7.3967	Octnil-ium-161
58	58	116	59	8.0043	Pentoct-ium-116
40	41	81	40	8.5176	Quadnil-ium-81
32	33	65	32	8.6686	Ge-65
74	74	148	73	7.5349	Septquad-ium-148
41	41	82	42	8.4147	Quadun-ium-82
17	17	34	18	8.4934	Cl-34
49	50	99	49	8.3136	Quadenn-ium-99
9	10	19	9	8.0540	F-19
58	59	117	59	8.0513	Pentoct-ium-117
33	33	66	33	8.5596	As-66
86	140	226	86	7.7525	Octhex-ium-226
34	34	68	34	8.5848	Se-68
80	82	162	81	7.4576	Octnil-ium-162
86	141	227	86	7.7374	Octhex-ium-227
67	67	134	69	7.7293	Hexsept-ium-134
35	35	70	35	8.5290	Br-70
50	51	101	51	8.2869	Pentnil-ium-101
17	18	35	17	8.6498	Cl-35
25	26	51	25	8.7354	Mn-51
34	35	69	34	8.6364	Se-69
67	68	135	70	7.7890	Hexsept-ium-135
82	118	200	82	7.9622	Octbi-ium-200
34	36	70	34	8.7155	Se-70
97	143	240	97	7.6229	Ennsept-ium-240
74	75	149	73	7.5791	Septquad-ium-149
35	36	71	35	8.6188	Br-71
98	143	241	98	7.6068	Ennoct-ium-241
50	52	102	50	8.3517	Pentnil-ium-102
3	3	6	4	4.8523	Li-6
41	42	83	42	8.4953	Quadun-ium-83
10	11	21	10	8.1900	Ne-21
11	12	23	11	8.3004	Na-23
26	27	53	27	8.7314	Fe-53
18	19	37	19	8.6763	Ar-37
35	37	72	35	8.6600	Br-72
4	4	8	5	6.8608	Be-8
110	153	263	110	7.3290	Ununnil-ium-263
83	119	202	83	7.9269	Octtri-ium-202
41	43	84	43	8.5380	Quadun-ium-84
102	133	235	102	7.4522	Unnilbi-ium-235
35	38	73	33	8.7277	Br-73
84	120	204	84	7.9142	Octquad-ium-204
81	82	163	82	7.3753	Octun-ium-163
96	147	243	96	7.6274	Ennhex-ium-243
90	131	221	90	7.7779	Ennnil-ium-221
51	53	104	50	8.2885	Pentun-ium-104
50	53	103	49	8.3893	Pentnil-ium-103
99	143	242	101	7.5830	Ennenn-ium-242
91	131	222	90	7.7556	Ennun-ium-222
12	13	25	10	8.3907	Mg-25
120	198	318	120	7.0906	Unbinil-ium-318
51	54	105	50	8.3475	Pentun-ium-105
121	199	320	121	7.0709	Unbiun-ium-320
100	143	243	103	7.5635	Unnilnil-ium-243
27	27	54	29	8.6171	Co-54
59	76	135	59	8.4411	Pentenn-ium-135
50	54	104	49	8.4431	Pentnil-ium-104
100	144	244	103	7.5671	Unnilnil-ium-244
111	153	264	111	7.2968	Ununun-ium-264
92	131	223	91	7.7381	Ennbi-ium-223
85	121	206	86	7.8859	Octpent-ium-206
93	131	224	92	7.7120	Enntri-ium-224
101	133	234	101	7.4850	Unnilun-ium-234
13	14	27	11	8.4648	Al-27
97	148	245	98	7.6096	Ennsept-ium-245
101	134	235	102	7.4963	Unnilun-ium-235
82	83	165	83	7.3447	Octbi-ium-165
86	121	207	87	7.8689	Octhex-ium-207
94	131	225	93	7.6906	Ennquad-ium-225
95	132	227	94	7.6673	Ennpent-ium-227
102	134	236	103	7.4646	Unnilbi-ium-236
41	44	85	43	8.6021	Quadun-ium-85
102	135	237	103	7.4701	Unnilbi-ium-237
97	149	246	98	7.6020	Ennsept-ium-246
14	15	29	12	8.5258	Si-29
87	121	208	88	7.8422	Octsept-ium-208
41	45	86	42	8.6304	Quadun-ium-86
59	77	136	59	8.4377	Pentenn-ium-136
81	83	164	82	7.4069	Octun-ium-164
42	46	88	43	8.6348	Quadbi-ium-88
28	28	56	28	8.7724	Ni-56
95	133	228	94	7.6664	Ennpent-ium-228
19	19	38	20	8.5544	K-38
96	133	229	94	7.6436	Ennhex-ium-229
100	145	245	103	7.5643	Unnilnil-ium-245
15	15	30	14	8.4016	P-30
122	199	321	121	7.0612	Unbibi-ium-321
43	47	90	44	8.5844	Quadtri-ium-90
50	55	105	48	8.4710	Pentnil-ium-105
28	29	57	29	8.7435	Ni-57
82	84	166	83	7.3957	Octbi-ium-166
44	48	92	45	8.5859	Quadquad-ium-92
19	20	39	20	8.7355	K-39
98	149	247	100	7.5914	Ennoct-ium-247
88	149	237	88	7.6422	Octoct-ium-237
112	154	266	112	7.2770	Ununbi-ium-266
111	154	265	111	7.3045	Ununun-ium-265
112	155	267	112	7.2798	Ununbi-ium-267
111	155	266	111	7.3065	Ununun-ium-266
99	149	248	102	7.5734	Ennenn-ium-248
88	121	209	89	7.8209	Octoct-ium-209
51	56	107	49	8.4297	Pentun-ium-107
29	30	59	30	8.7073	Cu-59
60	78	138	60	8.4298	Hexnil-ium-138
30	30	60	31	8.6439	Zn-60
97	134	231	95	7.6197	Ennsept-ium-231
89	149	238	89	7.6429	Octenn-ium-238
19	21	40	20	8.7143	K-40
98	134	232	96	7.5945	Ennoct-ium-232
