exre: stochastic chemical discovery
seeds: 27   iters: 800000   T: 350.0   rng: 4242

[seed] H2                E=3744.0  atoms=2 bonds=1  parent=H2
[seed] O2                E=-318.0  atoms=2 bonds=1  parent=O2
[seed] N2                E=-765.0  atoms=2 bonds=1  parent=N2
[seed] H2O               E=3344.0  atoms=3 bonds=2  parent=water
[seed] CO2               E=-1328.0  atoms=3 bonds=2  parent=CO2
[seed] CH4               E=6798.0  atoms=5 bonds=4  parent=methane
[seed] H3N               E=5187.0  atoms=4 bonds=3  parent=ammonia
[seed] CHN               E=966.0  atoms=3 bonds=2  parent=HCN
[seed] CO                E=434.6  atoms=2 bonds=1  parent=CO
[seed] NO                E=-247.0  atoms=2 bonds=1  parent=NO
[seed] H2S               E=3576.0  atoms=3 bonds=2  parent=H2S
[seed] HCl               E=1749.0  atoms=2 bonds=1  parent=HCl
[seed] HF                E=1583.0  atoms=2 bonds=1  parent=HF
[seed] C2H6              E=9895.0  atoms=8 bonds=7  parent=ethane
[seed] C2H4              E=6274.0  atoms=6 bonds=5  parent=ethene
[seed] C2H2              E=2695.0  atoms=4 bonds=3  parent=ethyne
[seed] CH4O              E=6480.0  atoms=6 bonds=5  parent=methanol
[seed] CH5N              E=8304.0  atoms=7 bonds=6  parent=methylamine
[seed] CH2O              E=2735.0  atoms=4 bonds=3  parent=formaldehyde
[seed] CH2O2             E=2417.0  atoms=5 bonds=4  parent=formic_acid
[seed] C6H6              E=8059.0  atoms=12 bonds=12  parent=benzene_kekule
[seed] O2S               E=-135.1  atoms=3 bonds=2  parent=SO2
[seed] H3P               E=5394.0  atoms=4 bonds=3  parent=phosphine
[seed] H4Si              E=7374.8  atoms=5 bonds=4  parent=silane
[seed] H2O2              E=3288.0  atoms=4 bonds=3  parent=hydrogen_peroxide
[seed] H4N2              E=6816.0  atoms=6 bonds=5  parent=hydrazine
[seed] CH3Cl             E=4883.0  atoms=5 bonds=4  parent=chloromethane

best seed: CO2 (E=-1328.0)

[novel] CH4N              E=6807.0  atoms=6 bonds=5  parent=methylamine
[novel] H                 E=2270.0  atoms=1 bonds=0  parent=H2
[novel] H3N2              E=5297.0  atoms=5 bonds=4  parent=hydrazine
[novel] Cl                E=270.0  atoms=1 bonds=0  parent=HCl
[novel] CH2FCl            E=2811.0  atoms=5 bonds=4  parent=chloromethane
[novel] CHO2              E=1670.0  atoms=4 bonds=3  parent=formic_acid
[novel] C3H               E=2381.0  atoms=4 bonds=3  parent=ethyne
[novel] OCa               E=-130.2  atoms=2 bonds=1  parent=NO
[novel] F                 E=270.0  atoms=1 bonds=0  parent=HF
[novel] NaCl              E=-486.1  atoms=2 bonds=1  parent=HCl
[novel] H2P               E=3806.0  atoms=3 bonds=2  parent=phosphine
[novel] H3N2P             E=5605.4  atoms=6 bonds=5  parent=hydrazine
[novel] HN                E=2509.0  atoms=2 bonds=1  parent=H2
[novel] CH3NO             E=5042.0  atoms=6 bonds=5  parent=methylamine
[novel] CHFCl             E=1103.4  atoms=4 bonds=3  parent=chloromethane
[novel] HFNa              E=2020.2  atoms=3 bonds=2  parent=H2S
[novel] C2HNO2            E=3118.0  atoms=6 bonds=5  parent=methylamine
[novel] HN2               E=2619.0  atoms=3 bonds=2  parent=hydrazine
[novel] HOK               E=1767.5  atoms=3 bonds=2  parent=water
[novel] CFBr              E=1452.7  atoms=3 bonds=2  parent=HF
[novel] C2HNO             E=3229.0  atoms=5 bonds=4  parent=methylamine
[novel] N                 E=1710.0  atoms=1 bonds=0  parent=H2
[novel] CHNOPK            E=2160.7  atoms=6 bonds=5  parent=methylamine
[novel] H2N               E=3668.0  atoms=3 bonds=2  parent=H2S
[novel] C2HOCl            E=2823.0  atoms=5 bonds=4  parent=methylamine
[novel] CHNOCa            E=1522.2  atoms=5 bonds=4  parent=methylamine
[novel] HCa               E=2004.8  atoms=2 bonds=1  parent=H2
[novel] FSBr              E=135.6  atoms=3 bonds=2  parent=HF
[novel] C2HNMg            E=3228.0  atoms=5 bonds=4  parent=methylamine
[novel] CH3NO2            E=4774.0  atoms=7 bonds=6  parent=methylamine
[novel] CFCl              E=-393.6  atoms=3 bonds=2  parent=chloromethane
[novel] CHNO2             E=2593.0  atoms=5 bonds=4  parent=methylamine
[novel] Mg                E=810.0  atoms=1 bonds=0  parent=H2
[novel] Na                E=270.0  atoms=1 bonds=0  parent=HCl
[novel] CH3N2             E=6522.0  atoms=6 bonds=5  parent=hydrazine
[novel] OF                E=528.2  atoms=2 bonds=1  parent=H2S
[novel] K                 E=270.0  atoms=1 bonds=0  parent=HCl
[novel] Ca                E=810.0  atoms=1 bonds=0  parent=H2
[novel] C3HCa             E=2140.0  atoms=5 bonds=4  parent=ethyne
[novel] C2H2NO            E=3134.0  atoms=6 bonds=5  parent=ethene
[novel] CH3NS             E=6091.0  atoms=6 bonds=5  parent=methylamine
[novel] CH3N              E=6326.0  atoms=5 bonds=4  parent=methane
[novel] Br                E=270.0  atoms=1 bonds=0  parent=H2
[novel] O                 E=810.0  atoms=1 bonds=0  parent=H2
[novel] C2HP              E=1653.4  atoms=4 bonds=3  parent=ethyne
[novel] HO3               E=1785.0  atoms=4 bonds=3  parent=hydrogen_peroxide
[novel] CHFCa             E=1240.1  atoms=4 bonds=3  parent=HF
[novel] KCa               E=102.7  atoms=2 bonds=1  parent=NO
[novel] CNS               E=1660.8  atoms=3 bonds=2  parent=H2S
[novel] C2H               E=2143.0  atoms=3 bonds=2  parent=ethyne
[novel] H2N2              E=5008.4  atoms=4 bonds=3  parent=hydrazine
[novel] CH2NSK            E=4085.9  atoms=6 bonds=5  parent=methylamine
[novel] OS                E=-382.6  atoms=2 bonds=1  parent=NO
[novel] CFCl2             E=-811.6  atoms=4 bonds=3  parent=chloromethane
[novel] C2H5              E=6398.0  atoms=7 bonds=6  parent=ethane
[novel] HO                E=2461.0  atoms=2 bonds=1  parent=ethyne
[novel] ClCa              E=-271.4  atoms=2 bonds=1  parent=HCl
[novel] NNaS              E=-860.7  atoms=3 bonds=2  parent=H2S
[novel] CHN2O2            E=3063.0  atoms=6 bonds=5  parent=methylamine
[novel] CHNO2Ca           E=4037.2  atoms=6 bonds=4  parent=methylamine
[novel] HPBr              E=1814.1  atoms=3 bonds=2  parent=phosphine
[novel] OK                E=-739.5  atoms=2 bonds=1  parent=O2
[novel] N                 E=1710.0  atoms=1 bonds=0  parent=H2
[novel] CH2N3             E=7063.4  atoms=6 bonds=5  parent=hydrazine
[novel] H2N2P             E=3676.8  atoms=5 bonds=4  parent=hydrazine
[novel] HO2S              E=1608.4  atoms=4 bonds=3  parent=hydrogen_peroxide
[novel] FK                E=-947.4  atoms=2 bonds=1  parent=NO
[novel] CH2NOBr           E=3185.3  atoms=6 bonds=5  parent=methylamine
[novel] CCl2              E=-236.6  atoms=3 bonds=2  parent=chloromethane
[novel] C2H4P             E=5793.4  atoms=7 bonds=7  parent=ethane
[novel] CH2NOKBr          E=2235.8  atoms=7 bonds=6  parent=methylamine
[novel] MgClCa            E=-239.0  atoms=3 bonds=2  parent=HCl
[novel] C3HCa2            E=2934.8  atoms=6 bonds=5  parent=ethyne
[novel] HN3               E=3089.0  atoms=4 bonds=3  parent=hydrazine
